"imaging_condition","operator","standardized_mean_window_level","standardized_mean_window_width"
"pelvis_dwi_b1000",1,84.4514486783329,128.644785302194
"pelvis_dwi_b50",1,68.4361638996166,133.647294832322
"pelvis_dynamic",1,87.7639099670151,170.452527346639
"pelvis_t1",1,49.3280986963058,112.449452799087
"pelvis_t1_dixon_in",1,53.7286615169048,127.311447192832
"pelvis_t1_dixon_opp",1,63.0656566395608,141.82156545737
"pelvis_t1_dixon_sub",1,76.4267217332284,159.645456639738
"pelvis_t1_dixon_w",1,83.6230057294154,171.131959182596
"pelvis_t1_fs",1,68.8995372389135,146.613208294653
"pelvis_t2",1,57.1719792864254,133.519138941488
"prostate_adc",1,58.9352867406644,110.937656818953
"prostate_b1000",1,70.4904090484081,136.073537961294
"prostate_b2000",1,651.174396084389,722.614443251252
"prostate_b50",1,59.2080633189529,116.345067448168
"prostate_dynamic",1,77.2098885477818,144.027130139763
"prostate_t1",1,52.4809439457345,111.819798060464
"prostate_t1_fs_cor",1,65.091386865302,134.426283728845
"prostate_t1_fs_tra",1,69.5727478331295,135.676834991958
"prostate_t2_cor",1,-92.3162187036821,103.568844864502
"prostate_t2_tra",1,59.3605525873596,118.585235724407
"prostate_t2_tra_fs",1,90.7863266062626,219.613676788838
"thspine_mip",1,68.2587383675141,116.985498395542
"thspine_stir",1,74.69167302274,152.584793733432
"thspine_t1",1,55.3285881760023,110.155440540139
"thspine_t1_tra",1,56.7156857435441,108.674572097474
"thspine_t2",1,61.1181659370816,122.515256799104
"thspine_t2_3d",1,59.0601340575167,127.011831335619
"thspine_t2_tra",1,58.1659575540469,130.06145741382
"abdomen_adc",2,69.4881306147682,120.521387455579
"abdomen_dwi_b0",2,72.2989417873007,137.370860562451
"abdomen_dwi_b1000",2,88.347186935723,146.446676636951
"abdomen_dwi_b50",2,71.1005658533805,132.993382237282
"abdomen_dynamic",2,82.00470323158,144.501068363355
"abdomen_heavyt2",2,64.2393201721925,123.909841253347
"abdomen_mrcp",2,73.7172292359405,137.551673745699
"abdomen_subtraction",2,76.2253781597465,149.399433387094
"abdomen_t1_ce",2,62.0647356198048,117.697286556687
"abdomen_t1_in",2,64.8001819279904,103.199368400368
"abdomen_t1_opp",2,65.6083415816354,116.301092342256
"abdomen_t1_w",2,87.8864720486817,161.311923461453
"abdomen_t2",2,56.9854983431483,103.98640813317
"abdomen_t2_fs",2,79.3019345881389,146.770171138834
"abdomen_truefisp2d",2,59.6161345732887,116.615268697672
"abdomen_truefisp3d",2,81.9207651499485,161.255082269748
"breast_adc",2,64.3574891271091,133.561126399748
"breast_b1000",2,97.0571093518967,178.618497215603
"breast_b1500",2,100.898324251511,174.615529241473
"breast_b50",2,90.4370129709586,167.011207966937
"breast_dynamic",2,98.0451395954842,163.161053665243
"breast_mip",2,81.4101582469025,117.054047642817
"breast_t1_hr",2,107.758606026125,187.663392362052
"breast_t2_fs",2,97.6709946501144,189.767773054382
"cspine_t1",2,60.1181248103566,116.087424989226
"cspine_t1_tra",2,55.1272303687529,108.780310426213
"cspine_t2",2,60.7186718037232,117.33553157129
"cspine_t2_3d",2,74.6369120274068,146.957573883065
"cspine_t2_tra",2,74.5438773357878,144.187397347951
"head_adc",2,50.971490009343,111.788464858151
"head_dwi_b0",2,83.9892522289041,142.452127066722
"head_dwi_b1000",2,107.527111936797,193.668737457961
"head_dwi_b2000",2,107.653939941082,195.277854832789
"head_flair",2,53.167848138679,96.5968563241469
"head_mra",2,110.981886574417,191.487562032075
"head_mra_mip",2,63.6554999546916,97.4575669723511
"head_t1",2,49.4640439828462,91.6936601837121
"head_t1_ce",2,52.405337142555,91.1387641444678
"head_t1_vibe_ce",2,67.5977441179981,113.114768778213
"head_t2",2,65.8468871063226,102.309712412512
"head_t2star",2,83.2985363563932,105.414743426335
"knee_med_cor",2,67.414790254419,121.70344935251
"knee_med_sag",2,64.1051956376588,117.153824511466
"knee_pd",2,62.3544791284743,108.204674999053
"knee_pd_fs_cor",2,81.5260299324525,152.650536682739
"knee_pd_fs_sag",2,75.0857606248689,142.800129626184
"knee_t2_fs",2,71.6922948572607,141.487586320424
"lspine_mip",2,73.8092971076679,134.293520761261
"lspine_stir",2,86.9445067159748,171.478948185862
"lspine_t1",2,59.5662711612132,111.02291101503
"lspine_t1_tra",2,53.741367746104,115.217796079722
"lspine_t2",2,72.3699110420408,133.714716046364
"lspine_t2_3d",2,71.0722173069612,144.424071563581
"lspine_t2_tra",2,62.2372549041858,124.067236570881
"neck_adc",2,47.2683930482639,99.3808093434432
"neck_b0",2,56.1424646522431,106.566410879318
"neck_b800",2,68.013820417628,127.484613861464
"neck_dixon_w",2,75.004333000083,136.533190179596
"neck_dynamic",2,88.4164554619398,164.172865853082
"neck_dynamic_w",2,73.0767078567934,133.733589340842
"neck_t1",2,58.2356071230296,105.964353282943
"neck_t1_fs_ce",2,69.7864057429777,118.430475764874
"neck_t2",2,57.6705566477249,108.07655433803
"neck_t2_stir",2,72.639192497646,137.533851544583
"pelvis_adc",2,65.0839439631791,119.282022916516
"pelvis_dwi_b0",2,75.3848273890275,145.05303845834
"pelvis_dwi_b1000",2,131.712832064917,225.062211553225
"pelvis_dwi_b50",2,85.2733111875819,161.022283371185
"pelvis_dynamic",2,91.8585347619288,163.123817941976
"pelvis_t1",2,57.9194358681519,104.336963746637
"pelvis_t1_dixon_in",2,59.3243021618543,106.816262177853
"pelvis_t1_dixon_opp",2,58.5809529354822,115.655976058747
"pelvis_t1_dixon_sub",2,80.2986069002728,156.319264389007
"pelvis_t1_dixon_w",2,91.4678361976022,172.181773882993
"pelvis_t1_fs",2,77.7948031877764,137.314509907492
"pelvis_t2",2,63.8778711696974,116.34488149381
"prostate_adc",2,83.330288431851,136.407711330865
"prostate_b1000",2,73.3823001684988,135.136773060832
"prostate_b2000",2,-570.685010392445,-42.9259476838533
"prostate_b50",2,80.8042452524452,155.281575706305
"prostate_dynamic",2,85.4134950859989,120.320857659044
"prostate_t1",2,67.2014507493334,113.232730494739
"prostate_t1_fs_cor",2,75.0943036734494,128.785710588726
"prostate_t1_fs_tra",2,77.649630854597,126.981139517767
"prostate_t2_cor",2,434.733293185759,154.225661999534
"prostate_t2_tra",2,63.6498962175481,120.4622829978
"prostate_t2_tra_fs",2,92.1910293312665,-43.9679119611476
"thspine_mip",2,57.1578543689017,143.465789996732
"thspine_stir",2,85.770035073999,171.298159031098
"thspine_t1",2,53.9934496591556,105.405368223609
"thspine_t1_tra",2,74.573969362792,133.956276844836
"thspine_t2",2,68.0538920152828,133.306316581943
"thspine_t2_3d",2,71.2477237493722,145.482776358942
"thspine_t2_tra",2,62.4908359341918,125.324976131122
"abdomen_adc",3,71.3756806873561,133.200623068233
"abdomen_dwi_b0",3,80.9631483317635,157.128199839507
"abdomen_dwi_b1000",3,90.5724532659332,167.266908056514
"abdomen_dwi_b50",3,85.8136066740564,168.303177454474
"abdomen_dynamic",3,80.2341974387355,147.361789028859
"abdomen_heavyt2",3,74.6793685328535,148.457261713978
"abdomen_mrcp",3,73.6395706922442,154.572272744926
"abdomen_subtraction",3,65.3641672151497,130.030221364667
"abdomen_t1_ce",3,71.0752802595613,134.540570519846
"abdomen_t1_in",3,66.4688594519195,117.635490916725
"abdomen_t1_opp",3,62.7412346243289,112.470973934926
"abdomen_t1_w",3,79.743760329582,152.08391712886
"abdomen_t2",3,63.3399975644935,115.248614493033
"abdomen_t2_fs",3,78.3155568959639,147.945659471084
"abdomen_truefisp2d",3,60.8775661880918,119.876970972589
"abdomen_truefisp3d",3,77.1892829642349,147.931360762462
"breast_adc",3,49.9136964582086,108.163857078401
"breast_b1000",3,82.1823602932904,158.768644696737
"breast_b1500",3,82.2995161179041,155.667552651637
"breast_b50",3,83.4602873113527,156.170299168194
"breast_dynamic",3,97.3341409791105,172.171546929544
"breast_mip",3,78.8510018448278,119.476305995286
"breast_t1_hr",3,89.5050569770213,161.364039363022
"breast_t2_fs",3,82.241971376485,168.5717241776
"cspine_t1",3,61.7111039016237,122.466023540107
"cspine_t1_tra",3,64.084547863555,88.0132230965906
"cspine_t2",3,55.9495160843181,112.229011456256
"cspine_t2_3d",3,65.8917964320765,128.899991059347
"cspine_t2_tra",3,71.4766615587444,142.120359436488
"head_adc",3,43.4903790387308,115.872723878478
